#Energy[eV] RINDEX ABSLENGTH[m] RAYLEIGH[m] MIEHG[m] MIE_FORW MIE_BACK MIE_RATIO
1.569620 1.328850 0.000000 3867.912176 3473.560609 0.666666 0.000000 1.000000
1.589740 1.329060 0.000000 3661.193605 3473.433042 0.666666 0.000000 1.000000
1.610390 1.329270 0.000000 3462.693975 3474.828790 0.666666 0.000000 1.000000
1.631570 1.329480 0.000000 3272.387139 3477.869355 0.666666 0.000000 1.000000
1.653330 1.329700 0.000000 3089.804211 3482.695641 0.666666 0.000000 1.000000
1.675670 1.329920 0.000000 2914.930277 3489.454866 0.666666 0.000000 1.000000
1.698630 1.330140 0.000000 2747.430287 3498.320187 0.666666 0.000000 1.000000
1.722220 1.330370 0.815030 2587.209680 3509.473251 0.666666 0.000000 1.000000
1.746470 1.330600 1.212748 2434.033706 3523.123510 0.666666 0.000000 1.000000
1.771420 1.330840 1.605229 2287.629125 3539.512673 0.666666 0.000000 1.000000
1.797100 1.331090 1.939540 2147.806163 3558.906713 0.666666 0.000000 1.000000
1.823520 1.331340 2.150761 2014.482321 3581.585574 0.666666 0.000000 1.000000
1.850740 1.331600 2.277953 1887.329026 3607.907919 0.666666 0.000000 1.000000
1.878780 1.331860 2.441781 1766.232827 3638.241673 0.666666 0.000000 1.000000
1.907690 1.332130 2.941718 1650.954837 3673.035533 0.666666 0.000000 1.000000
1.937490 1.332410 3.217381 1541.388151 3712.761213 0.666666 0.000000 1.000000
1.968250 1.332700 3.428428 1437.250765 3758.025486 0.666666 0.000000 1.000000
1.999990 1.332990 3.630062 1338.450816 3809.447692 0.666666 0.000000 1.000000
2.032780 1.333290 3.780897 1244.743733 3867.820896 0.666666 0.000000 1.000000
2.066660 1.333610 4.511825 1155.991798 3934.006131 0.666666 0.000000 1.000000
2.101690 1.333930 7.415052 1072.011107 4009.037737 0.666666 0.000000 1.000000
2.137930 1.334270 11.162663 992.632357 4094.117568 0.666666 0.000000 1.000000
2.175430 1.334620 14.365861 917.716347 4190.617867 0.666666 0.000000 1.000000
2.214280 1.334980 16.115754 847.055633 4300.251024 0.666666 0.000000 1.000000
2.254540 1.335360 17.660369 780.515446 4424.938367 0.666666 0.000000 1.000000
2.296290 1.335760 21.010386 717.934483 4566.995731 0.666666 0.000000 1.000000
2.339620 1.336170 22.926349 659.149979 4729.181387 0.666666 0.000000 1.000000
2.384610 1.336600 24.315296 604.024031 4914.689863 0.666666 0.000000 1.000000
2.431370 1.337050 30.622552 552.392231 5127.380008 0.666666 0.000000 1.000000
2.479990 1.337530 48.395275 504.124625 5371.619418 0.666666 0.000000 1.000000
2.530610 1.338030 65.336016 459.052681 5652.631805 0.666666 0.000000 1.000000
2.583330 1.338550 76.725906 417.057623 5975.936379 0.666666 0.000000 1.000000
2.638290 1.339110 91.164114 377.995111 6347.439934 0.666666 0.000000 1.000000
2.695650 1.339700 117.349133 341.720684 6772.599390 0.666666 0.000000 1.000000
2.755550 1.340330 146.487454 308.113978 7254.508179 0.666666 0.000000 1.000000
2.818170 1.341000 182.504310 277.040392 7791.263251 0.666666 0.000000 1.000000
2.883710 1.341720 226.347148 248.368309 8370.443114 0.666666 0.000000 1.000000
2.952370 1.342480 278.449868 221.977579 8960.388470 0.666666 0.000000 1.000000
3.024380 1.343310 338.206713 197.746180 9499.415582 0.666666 0.000000 1.000000
3.099990 1.344190 403.302412 175.556046 9887.178481 0.666666 0.000000 1.000000
3.179480 1.345150 469.214087 155.290820 9991.614851 0.666666 0.000000 1.000000
3.263150 1.346200 529.354093 136.839356 9688.246875 0.666666 0.000000 1.000000
3.351340 1.347330 576.334516 120.091494 8929.560090 0.666666 0.000000 1.000000
3.444440 1.348580 604.119266 104.938368 7796.548124 0.666666 0.000000 1.000000
3.542850 1.349940 610.008663 91.279596 6474.534435 0.666666 0.000000 1.000000
3.647050 1.351450 595.280397 79.012806 5163.012854 0.666666 0.000000 1.000000
3.757570 1.353120 564.167150 68.040244 3999.507673 0.666666 0.000000 1.000000
3.874990 1.354980 522.089025 58.268723 3041.563620 0.666666 0.000000 1.000000
3.999990 1.357070 474.129754 49.606100 2289.027586 0.666666 0.000000 1.000000
4.133320 1.359430 424.273194 41.965091 1714.087252 0.666666 0.000000 1.000000
4.275850 1.362110 375.247515 35.260754 1281.350664 0.666666 0.000000 1.000000
4.428560 1.365180 328.728431 29.412287 957.917970 0.666666 0.000000 1.000000
4.592580 1.368720 285.621298 24.342064 716.694277 0.666666 0.000000 1.000000
4.769220 1.372870 246.323069 19.975852 536.673637 0.666666 0.000000 1.000000
4.959990 1.377760 210.921413 16.243285 402.072134 0.666666 0.000000 1.000000
5.166650 1.383620 179.323715 13.077642 301.191772 0.666666 0.000000 1.000000
5.391290 1.390740 151.336654 10.415655 225.404593 0.666666 0.000000 1.000000
5.636350 1.399560 126.722798 8.198291 168.366970 0.666666 0.000000 1.000000
5.904750 1.410750 105.222953 6.370215 125.390435 0.666666 0.000000 1.000000
6.199980 1.425350 86.574796 4.880117 93.000505 0.666666 0.000000 1.000000
